"rent_place","return_place","rent","return"
"ST-10","ST-14",1,198
"ST-10","ST-18",1,279
"ST-10","ST-20",1,287
"ST-10","ST-209",1,295
"ST-10","ST-341",1,392
"ST-10","ST-342",1,393
"ST-100","ST-101",2,5
"ST-100","ST-102",2,8
"ST-100","ST-1660",2,257
"ST-100","ST-1663",2,853
"ST-100","ST-258",2,329
"ST-1002","ST-1006",3,4
"ST-1002","ST-1017",3,7
"ST-1002","ST-1496",3,218
"ST-1006","ST-1015",4,6
"ST-1006","ST-1018",4,854
"ST-1006","ST-1496",4,218
"ST-1006","ST-1505",4,855
"ST-101","ST-102",5,8
"ST-101","ST-106",5,23
"ST-101","ST-112",5,62
"ST-101","ST-1660",5,257
"ST-101","ST-1661",5,258
"ST-101","ST-1663",5,853
"ST-101","ST-257",5,328
"ST-101","ST-258",5,329
"ST-101","ST-972",5,837
"ST-101","ST-987",5,847
"ST-1015","ST-1017",6,7
"ST-1015","ST-1350",6,856
"ST-1015","ST-1495",6,217
"ST-1015","ST-1496",6,218
"ST-1017","ST-1497",7,857
"ST-102","ST-113",8,68
"ST-102","ST-1378",8,196
"ST-102","ST-1429",8,208
"ST-102","ST-1660",8,257
"ST-102","ST-1661",8,258
"ST-102","ST-1663",8,853
"ST-102","ST-1690",8,858
"ST-102","ST-257",8,328
"ST-102","ST-259",8,330
"ST-102","ST-377",8,415
"ST-102","ST-384",8,417
"ST-102","ST-972",8,837
"ST-102","ST-973",8,838
"ST-102","ST-974",8,839
"ST-102","ST-980",8,843
"ST-102","ST-984",8,845
"ST-102","ST-987",8,847
"ST-1028","ST-1481",9,215
"ST-1028","ST-1483",9,859
"ST-1032","ST-1482",10,216
"ST-1035","ST-1038",11,860
"ST-1035","ST-1039",11,861
"ST-104","ST-1690",12,858
"ST-104","ST-368",12,408
"ST-1040","ST-1052",13,21
"ST-1040","ST-1371",13,862
"ST-1040","ST-1598",13,863
"ST-1040","ST-1622",13,864
"ST-1041","ST-1046",14,17
"ST-1043","ST-1052",15,21
"ST-1043","ST-1061",15,24
"ST-1045","ST-1046",16,17
"ST-1045","ST-1083",16,40
"ST-1046","ST-1061",17,24
"ST-1046","ST-1420",17,207
"ST-1047","ST-1720",18,865
"ST-105","ST-112",19,62
"ST-105","ST-364",19,406
